images,article,title
,"<p>A major fire swept across the Indian Army’s 45 Rashtriya Rifles (RR) camp along the Line of Control (LoC) reducing around 16 of its barracks to ashes at Machil sector in Kupwara district of North Kashmir.<br><br>The incident occurred in the afternoon when smoke started billowing inside the camp of 45 RR at Dudhi area of Machil sector along the LoC. Huge flames immediately leapt in the air as fire spread to several barracks reducing the structures to ashes. <br><br>Police said around 16 barracks, mostly made of wood,  were reduced to ashes within hours. <br><br>“A fire incident took place in Machil sector at 2 pm today. The fire was brought under control. Some damage to property took place. However, there is no loss of life. Cause of fire is being ascertained”, said Colonel Rajesh Kalia, defence spokesman at Srinagar.<br><br>The camp is located at a strategic location given that Machil is one of the routes for infiltration from Pakistan Occupied Kashmir. Three militants were killed when army foiled an infiltration bid in Machil sector on June 6. Two of the three militants killed in Machil sector later turned out to be Kashmiris who had traveled to Pakistan on valid travel documents. <br><br>The army is trying to ascertain the losses caused by the fire. ""We are assessing the losses caused by the fire. Process has started to figure out the damages caused by the fire"", said an officer. <br><br>The police said the fire has mostly probably been caused either by the shot circuit or the Kerosene stove. ""Since there were wooden structures in the camp the fire spread quickly. Around 20 structures were damaged including four of the Power Development Department. <br><br>There is no loss of life. It seems the fire was most probably caused either by shot circuit or Kerosene stove”, said Ambarkar Shriram Dinkar, Senior Superintendent of Police, Kupwara.<br><br>Police said situation has been brought under control and only the wooden structures have been damaged. “Everything has been brought under control. There is nothing to worry”, said Shriram.</p>","Massive fire near Line of Control, 16 Indian Army barracks reduced to ashes in Kashmir's Kupwara"
,"<p>The government on Tuesday said it expected to spend less than Rs. 100 billion ($1.43 billion) on its first manned space mission to be launched by 2022, suggesting it is likely to be cheaper than similar projects by the United States and China.<br>India is cultivating a reputation as a low-cost space power, after the 2014 launch of an unmanned Mars mission at a cost of $74 million, or less than the budget of the Hollywood space blockbuster ""Gravity"" and a fraction of the $671 million the US space agency NASA spent on its MAVEN Mars mission.<br><br>The Indian manned mission, announced this month by Prime Minister Narendra Modi and to be led by the Indian Space Research Organisation (ISRO), will aim to send a three-member crew to space for five to seven days in a craft that will be placed in a low earth orbit of 300-400 km, the Department of Space said in a statement.<br><br>""ISRO has developed some critical technologies like re-entry mission capability, crew escape system, crew module configuration, thermal protection system, deceleration and floatation system, sub-systems of life support system etc required for this programme,"" the statement said.<br><br>ISRO Chairman K Sivan said the agency had ""perfected the engineering aspects of the mission"", although it was new to the field of bioscience - dealing with living beings.<br><br>Private agencies will also participate in the mission, and ISRO might consider collaborations with space agencies from ""friendly countries with advanced space programmes"", the statement added.<br><br>China first sent humans to space in 2003, becoming only the third country to have such capability after Russia and the United States.<br><br>China's Shenzhou program is secretively run through military and government agencies and its budget is not public. In 2003, officials said it had cost 18 billion yuan.<br><br>India's space programme has a total budget of around $4 billion, and PM Modi's government hopes recent satellite launches -- many on behalf of foreign governments -- would improve its prospects of winning a larger share of the more than $300 billion global space industry.<br><br>Earlier this month, NASA unveiled its analysis of data collected from lunar orbit by an Indian spacecraft. The findings marked the first time scientists confirmed by direct observation the presence of water on the moon's surface - in hundreds of patches of ice deposited in the darkest and coldest reaches of its polar regions.</p>","India's Manned Space Mission To Be Cheaper Than Projects By US, China"
,"<p>In a breakthrough, two Hizbul Mujahideen militants including its commander Altaf Ahmed Dar alias Altaf Kachroo, one of the oldest surviving terrorist, were killed on Wednesday in South Kashmir’s Anantnag district, police said.<br><br>Giving details, a spokesman of the police said that based on a specific intelligence, Jammu and Kashmir police along with other security forces launched the search operation at Muniward village of Khanabal area in the district at the crack of the dawn.<br><br>“During the searches, terrorists fired on the search party, which was retaliated leading to an encounter and in the ensuing encounter two terrorists were eliminated. The killed terrorists were identified as Altaf Ahmad Dar alias Ataf Kachroo alias Moin of Hawoora Mishipora and Omar Rashid Wani of Khudwani Kulgam,” the spokesman said.<br><br>He said Dar, who also hails from Kulgam in South Kashmir, was currently operating as a one of the most important terrorist Commander of proscribed terror outfit Hizbul Mujahideen and had a long history of criminal records since 2007.<br><br>“It was a specific operation carried out swiftly by the security forces. In the action both terrorists, who were involved in several cases of civilian atrocities and attacks on policemen, were eliminated,” inspector general of police (Kashmir Range) Swayam Prakash Pani said.<br><br>Considered as a long time surviving terrorist in the area, Dar was involved in series of terror crimes in the area which included attacks on the security forces and killings of civilians and policemen in South kashmir.<br><br>One of the police officials, who was involved in the operation, described him as a ‘chief architect’ of attacks on policemen.<br><br>The police spokesman also said that Dar along with his associate Yasin Itoo played a major role in instigating people during 2016 unrest which was sparked after the death of Hizbul Mujahideen’s poster boy Burhan Wani.<br><br>The other militant killed in the encounter was Omar Rashid Wani, who had become active since last year.<br><br>The spokesman said he was involved in many civilian atrocities and attacks on security establishments.<br><br>Wani was also involved in killing of policemen at Anantnag and recently he carried an attack on CRPF in Srinagar and managed to give a slip during the recent Batmaloo encounter site.<br><br>The spokesman said though the two were part of the Hizbul Mujahideen terror group, they managed to keep close coordination with other outfit for unleashing terror.</p>",Two Hizb militants killed in encounter with security forces in J-K’s Anantnag
,"<p>While the US is openly wooing India, there are no signs that New Delhi is going to give up its longstanding defense collaboration with Russia. Speaking to Sputnik, Indian analysts emphasized the country's ""strategic autonomy"" as New Delhi's major priority and presumed that the US's apparent plan to bring India into NATO’s fold would fail.<br><br>Having granted India a waiver under the Countering America's Adversaries Through Sanctions Act (CAATSA), Washington made it clear that it wanted New Delhi to ""reduce inventory of Russian-produced major defense equipment and advanced conventional weapons."" However, India appears to be determined to continue defense cooperation with Moscow. Thus, Russia has tossed its hat into the ring of India's tender for the supply of 111 light multipurpose naval utility helicopters (NUH) and is currently taking part in New Delhi's Project 75I tendering procedure that envisages the procurement of six conventional submarines. It seems that the US might not be happy with the bolstering of Russo-Indian military collaboration.<br><br>Meanwhile, Russia's Sukhoi Su-57 fifth generation stealth multi-role fighter was publicly demonstrated at the latest Army 2018 International Military Technical Forum. Two of these warplanes will be soon delivered to the armed forces. All in all, the Russian Aerospace Forces will get 15 Su-57 fighters in the near future. Still, the designers will continue developing the aircraft. It is expected that the jet will have enhanced artificial intelligence capabilities.<br>Russia and India have jointly developed the new stealth fighter, previously known as the T-50 or PAK-FA, under the Fifth Generation Fighter Aircraft program (FGFA) for about 10 years. Reportedly, the Indian Air Force was not quite satisfied with the initial version of the plane's engine. However, the latest trials of Russia's cutting-edge Saturn ""izdeliye 30"" engines, which boost the Su-57's maneuverability and provide it with supersonic speed, have indicated that Russian designers are working against the clock to keep the aircraft up to date and on par with foreign analogues. Meanwhile, India's own fifth-generation fighter is reportedly expected to make its maiden flight in 2032.<br><br>Amrita Dhillon, a foreign affairs analyst and founding editor of New Delhi-based Kootneeti magazine, and retired Maj. Gen. Rajiv Narayanan, shared their views with Sputnik on the issue of Russo-Indian defense cooperation.<br><br><br>Sputnik: What was behind supposed frictions between India and Russia over the joint fifth-generation stealth fighter project? What about India's own fifth-generation Advanced Medium Combat Aircraft (AMCA)?<br><br>Maj Gen Narayanan: There were a few issues that India was concerned with: a) a lack of sharing technology and security codes that would have ensured continued dependency on Russia — something that went against the grain of ""Make in India""; b) there were doubts over the levels of stealth it would provide and over the competitiveness [of the Su-57] among stealth aircraft in service of other nations because of production delays; c) the issue of engines and the need for their servicing in Russia at very short intervals was also problem.<br><br>The AMCA is a work in progress as a multi-modal project that is looking at public, private and joint-venture (JV) modes to fast-track its development.<br><br><br>Sputnik: What do you think about Russia's chances of winning the ongoing Project 75-India tender on six diesel-electric submarines in India? What do you know about the tender? Indian military blog India Defense Research Wing has suggested that the US may throw sand into the gears of a potential Russo-Indian deal. What's your take on that?<br><br>Maj Gen Narayanan: The Project 75-India is the follow-on project to the Project 75 Kalvari Class submarines (based on the French Scorpene Class submarines). These submarines would have advanced air-independent propulsion (AIP) systems. India intends to make all six submarines under this project in Indian dockyards.<br><br>There are only four countries in the fray: France, Germany, Spain and Russia. As the Indian Navy has the necessary expertise in using and sustaining Russian submarines, and now the French submarines, it would be difficult to say which way the deal swings. Indian Armed forces now use the ""life-cycle"" costs approach to make the best deal. As such it all depends on who meets the technical and commercial requirements of the Indian Navy.<br><br>India follows the concept of ""strategic autonomy"" and keeps in mind its strategic and core interests. To ascribe the capability of the US to dictate on India's core interests would be grossly incorrect. India also looks at Russia as its essential strategic partner. The waiver for procurement of S-400 systems from Russia is a case in point. The Project 75-India would go to the country that best meets the needs of the Indian Navy.<br><br><br>Sputnik: The Trump administration has recently granted Strategic Trade Authorization-1 status to India. India has become the third Asian nation to receive this status from the US after Japan and South Korea. What does this development mean for India? Is the US trying to bring New Delhi into NATO's fold, in your opinion?<br><br>Amrita Dhillon: India appears to be a big beneficiary of STA-1. It will boost the countries' cooperation in the areas of civil space, defense and other high technology sectors. However, in my view, the Trump administration's decision to put India in STA-1 from STA-2 is more business oriented. It is designed to remove the Congress and Senate limitations of conducting defense trade with India and makeover the failed Lockheed Martin deal over Rafale.<br><br>Another reason in my view is the mid-term elections, which will be held in November. Being the largest defense market, India will be an outstanding force in driving jobs in the US (something on what the Trump administration is focused). This also indicates clearly that India has all the qualities to fit in the Nuclear Suppliers Group (NSG), where China is blocking its entry.<br><br>Being a non-NATO country, India will follow its national interests. This is a little known fact that the Indian Navy is the only warfare service branch in the world which integrates American sensors with Soviet era technology. So, going into the NATO fold will never be an option for India by any means.</p>",From Su-57 to Project 75I: Why India Views Russia as Essential Strategic Partner
,"<p>Four policemen were killed in a militant attack and three weapons looted in south Kashmir district of Shopian on Wednesday, official sources said.<br><br>They said that militants fired at the escort of Deputy Superintendent of Police (DySP) headquarters Shopian at Arhama on Wednesday afternoon, resulting in injuries to four policemen.<br><br>""The injured were immediately taken to a hospital where they succumbed,"" they said.<br><br>They said the escort part had gone to Arhama to repair a police vehicle.<br><br>""The militants after the attack, also decamped with three rifles,"" they said.<br><br>""Security forces have been rushed and a search operation has been launched to nab the attackers,"" they added.<br><br>The slain policemen have been identified as Mohammad Iqbal, Javaid Ahmad, Adil Ahmad and Ishfaq Ahmad.</p>","Four policemen killed in militant attack in Shopian, three weapons looted"
,"<p>India’s Defence Research and Development Organization (DRDO) wants to sell tech that it says it has developed for a `super radar’ for fighter jet aircraft and has asked the Indian Industry to submit proposals for transfer of technology (ToT). <br><br>The Electronics and Radar Development Establishment (LRDE) has said that it is ready with its “Active Electronically Scanned Array Radar (AESAR)” technology and has four licenses to offer to the Indian industry. The lab has asked interested companies to submit their profiles to apply for the project.<br><br>The AESAR is a key requirement for all future jet fighter purchases by India, with efforts also on to integrate it to the indigenous Light Combat Aircraft (LCA) Tejas that are on order by the Indian Air Force. In a recent note, DRDO has said that its fire control Radar can be configured for use on any fighter class aircraft and has sought Expression of Interest (EOI) from prospective bidders. <br><br>“Active phased array technology in the Radar enables user to achieve high mission reliability with multi-target tracking capability. The radar operational modes are designed to assist the fighter pilot in the execution of various combat missions in air-to-air, air-to-ground and air-to-sea operations,” the DRDO note says. <br><br>AESA radars are at the heart of modern fighter aircraft and are integrated on all cutting edge jets like the Dassault Rafale and Boeing F/A 18 besides the fifth generation F 22 and F 35 fleet. These radars enable jets to detect enemy targets from a standoff distance without getting exposed. They can also track and target multiple threats simultaneously, giving one jet the ability to take down several targets. An AESA radar will also be a defining parameter for the upcoming contest to supply 110 fighter jets to India under a Make in India scheme. <br><br>Israeli company ELTA is equipping 58 of the Indian Air Force Jaguar jets with AESA radars as part of the upgrade plan. No other Indian Air Force fighter had the AESA radar yet but India is processing a global tender for AESA radars for a new fleet of 83 LCA MK 1A fighters for which also ELTA has been down selected. <br><br>The integration of an AESA radar was a key parameter for the air force to clear the order for 83 LCA Mk 1A fighters, after years of blocking the indigenous fighter on concerns that it would not be combat worthy. </p>","DRDO wants to sell super radar technology for fighter jets to industry, invites applications"
,"<p>India’s first manned space mission-Gaganyaan- is expected to take three Indians into space for seven days and the spacecraft will be placed in low earth orbit of 300-400 km. <br><br>The Minister Of State for Atomic Energy and Space, Jitendra Singh,  gave the details yesterday saying two unmanned Gaganyaan missions will be undertaken prior to sending humans.<br><br>""The total programme is expected to be completed before 2022 with the first unmanned flight within 30 months. The mission will aim to send a three-person crew to space for a period of seven days. The spacecraft will be placed in a low earth orbit of 300-400 km. The programme is expected to cost less than Rs. 10,000 crore,"" Singh was quoted by NDTV.<br><br>Ever since the launch of  Mangalyaan in 2013, Indian Space Research Organisation  (ISRO) has seen an unprecedented rise in popularity and now it’s being counted in the league of NASA and European Space Agency (ESA). ISRO too seeks to add to this repute and has planned back to back 19 missions to be launched till March next year.<br><br>Indeed ISRO’s effort need to be hailed and appreciated, India has set other goals too for itself and it’s working towards achieving these goals.<br><br><br>Here are some of the major goals likely to be achieved by India in the decade to come.<br><br>1. Military modernisation and manufacturing hub ::<br><br>India has spent USD 100 billion in last one decade to buy 65 per cent of its defence equipment and unless the government works towards a goal of producing military equipment within the country, the cost of acquiring the weapons cannot be reduced drastically.<br><br>Now, keeping this in mind, the government will come out with a major policy next month outlining a roadmap to build a robust defence production industry with an objective to make India one of the top five producers of the military equipment globally. <br><br>According to PTI, the Defence Production Policy (DPP-2018) will lay focus on investing adequate resources to develop critical technology for manufacturing defence equipment including fighter jets, attack helicopters and weaponry. <br><br>According to the draft policy, the government aims to achieve a turnover of Rs 1,70,000 crore in military goods and services by 2025.<br><br><br>2. Health Insurance Scheme ::<br><br>Though India has failed miserably in proving adequate health infrastructure to its people. whether it's the doctor-patient ratio deficit which is alarming or paucity of other necessities like beds in hospitals, CHCs, PHCs, district hospitals, the state of health infrastructure is in jeopardy.  <br><br>The Centre has come out with a policy to provide Health insurance to 10 crore poor families with a cover of Rs 5 lakhs.  Ayushman Bharat-National Health Protection Mission  (AB-NHPM), is the most ambitious scheme of the government until now which promises to give health cover of up to five lakhs to 10 crore poor families yearly.<br><br>The ministry for health and family welfare has signed an agreement with the skill development ministry for recruitment, following which around one lakh ‘Ayushman Mitras’ will be deployed at private and government hospitals under the scheme, the official said. It also likely create 10,000 jobs.  The government is in hurry to roll out the scheme as general elections are approaching.<br><br><br>3. 227 GW of renewable energy ::<br><br>India has kept a target of generating 227 GW of renewable energy by 2022. India had earlier kept a target of 175 GW earlier,  but after a slew of schemes were started the target has been revised. One of the major initiatives is the International Solar Alliance is India’s initiative. With 19 countries already ratifying its framework and a total of 121 countries situated between Tropics of Cancer and Capricorn being a part of it, India seems to be taking lead in fighting against the carbon emissions cause environmental haemorrhage.<br><br>“The ISA is an Indian initiative, jointly launched by the Prime Minister of India, Shri Narendra Modi and the President of France on 30th November 2015 in Paris, on the sidelines of COP-21, the UN Climate Conference. It aims at addressing obstacles to deployment at the scale of solar energy through better harmonization and aggregation of demand from solar rich countries lying fully or partially between the Tropic of Cancer and Tropic of Capricorn,” the Indian government has said in a statement.<br><br><br>4. Higher Education to 40 million by 2020 ::<br><br>India has an ambitious target of providing higher education to 40 million people. The government targets to achieve Gross Enrolment Ration of 30 percent for higher education by 2020 to create more skilled professionals. The education industry in India is estimated to reach US$ 144 billion by 2020 from US$ 97.8 billion in 2016. <br><br><br>5. Eliminate TB by 2025 ::<br><br>The government has set a target of eliminating tuberculosis from India by 2025 which is five years ahead of the global target. Elimination of TB refers to less than one case of TB for a population of 10 lakh by 2025 as for World Health Organisation (WHO) recommendations.<br><br>TB India annual report 2017, the incidence of TB has reduced from 289 per lakh per year in 2000 to 217 per lakh per year in 2015. The mortality due to TB has reduced from 56 per lakh in 2000 to 36 per lakh in 2015, which is not a great improvement which makes the government unlikely to achieve the target.</p>","Indian In Space, A Defence Hub, And Other Major Projects That India Wants To Finish ASAP!"
,"<p>As you read this Wednesday morning, a senior General of the Indian Army is slated to be airdropped alongside a Pakistani officer at a beautiful lakeside town called Chebarkul in Russia’s Ural mountains. He will be accompanied by a Chinese counterpart and six others from Russia and Central Asian countries.<br><br>Lieutenant General Satish Dua is the Chief of Integrated Defence Staff to the chairman, Chiefs of Staff Committee (CISC). He will be the first officer of his rank to watch his troops of the 5 Rajput battalion as well as two teams of paratroopers from the Indian Army and crew from the Indian Air Force operate alongside a contingent of Pakistan’s Special Services Group (SSG) — a special force to which former dictator Pervez Musharraf belonged too — and a Chinese motorised company, besides Russian troops.<br><br><br>Under siege ::<br><br>In the latest edition of the Shanghai Cooperation Group’s (SCO’s) exercise ‘Peace Mission’, the first involving Indian, Pakistani and Chinese troops, the forces will simulate an attack on a mountain that is the designated target. It is a town held hostage by terrorists.<br><br>The scenario is vaguely akin to what has been witnessed in Syria, say, Aleppo, where pockets of the ancient city were held to ransom by the Islamic State terror group till a few months back.<br><br>The exercises have been on since 22 August in three phases: Consultations, preparations and execution. Their climax Wednesday and Thursday envisages a combined land-air attack.<br><br>The Indian troops will be flown in a Russian Ilyushin-76 transporter, and Russian Mi-75 helicopters and gunships will mount a joint attack on a mountain in support of ground forces.<br><br>Such a new India-Pakistan-China scenario does not end here. It is likely to evolve.<br><br>Thursday, 30 August, the navies of the three countries are scheduled to converge alongside those from 24 other nations, on Darwin, Australia. India’s frigate, the INS Sahyadri, has set sail from Suva, Fiji.<br><br>The INS Sahyadri was participating in the Rim of the Pacific (RIMPAC) wargames — the largest of its kind in the world, hosted by the US — just before this. China was “disinvited” from the RIMPAC drills, with the US withdrawing its invitation because of tensions in the South China Sea.<br><br>Australia will be hosting its biennial international maritime exercise ‘Kakadu’ till 15 September. China has been invited for the first time.<br><br><br>Of pappis, jhappis and border peace ::<br><br>By accident or design, India and Pakistan have by and large stuck to the ceasefire along the Line of Control in Jammu &amp; Kashmir for almost 10 days now. Reports of Chinese and Indian patrols going eye-to-eye have also quieted down. Chinese defence minister General Wei Fenghe was in New Delhi last week where he met Prime Minister Narendra Modi and defence minister Nirmala Sitharaman.<br><br><br>So what is happening?<br><br>When many in India are livid over Punjab minister Navjot Singh Sidhu’s jhappis in Islamabad during Pakistan Prime Minister Imran Khan’s swearing-in, the Indian military, arguably the institution most respected by the public, is suddenly engaging China and Pakistan in friendly games.<br><br>These games have included playing volleyball, marching and firing together, and will most likely end with a party on a sandy beach in northern Australia.<br><br>From the northern hemisphere to the southern, usual foes are swinging in a breathless pappi-jhappi across the Equator.<br><br>Just days since firing across the Line of Control peaked and exactly a year after the Doklam face-off, such a turn of events is stupefying to the hardline.<br><br>“A first! Indian army and Pakistan Army fight on the same side in SCO exercise underway in Russia,” tweeted Lt General Dua (@TheSatishDua), shortly after landing in Moscow and before leaving for Chelyabinsk.<br><br>“From here (Moscow) we all go to attend SCO exercise (in) Chebarkul,” he wrote again  Tuesday.<br><br>Captain Shantanu Jha, commanding officer of the INS Sahyadri, is yet to express his sentiments.<br><br><br>The price of hostility ::<br><br>It is possible that for New Delhi, heading into an election season, the symbolism of meetings among the militaries may mark the beginning of a realisation that spiraling hostility yields less political capital than was earlier desired.<br><br>It is still too early to say that the ceasefire will continue to hold or a Doklam will not be repeated. If a peace dividend is possible in Kashmir for the time being, it is equally possible that a wavering Bhutan has instilled a dose of realism in the China policy. In India’s neighbourhood, The Maldives have already signaled this.<br><br>It is less likely that India is shifting gears in a world order that is not defined by Trumpism alone.<br><br>Next week (6 September), India and the US are scheduled to hold their maiden ‘2 + 2’ dialogue, named thus because it will involve joint dialogues between the defence and foreign ministers, in New Delhi.<br><br>The life of the newfound bonhomie among familiar adversaries may last only till the next call of the cockatoo, Kakadu.</p>","The militaries of nuclear-armed India, Pakistan, China are suddenly friendly. Why?"
,"<p>India will not completely halt Iranian oil imports and will finalise its strategy on crude purchases from Tehran after a meeting with top U.S. officials next week, a senior government official said. U.S. Secretary of State Mike Pompeo and Defense Secretary Jim Mattis will hold high-level talks with India’s Foreign Minister Sushma Swaraj and Defence Minister Nirmala Sitharaman on Sept. 6, in what is known as a 2+2 dialogue.<br><br>“Definitely we are not going to zero” (purchases), said the official, who has direct knowledge of India’s oil purchase policy and did not wish to be identified. When asked if more clarity on India’s Iranian oil purchases would emerge after the dialogue, the official said “yes, that is the highest level of meeting we will have with the U.S.”<br><br>The United States is pushing all countries to halt oil imports from Iran after President Donald Trump withdrew from a 2015 deal between Iran and six world powers and ordered a re-imposition of sanctions on Tehran. India, Iran’s top oil buyer after China, has so far not decided on the size of any cut to Iranian imports and continues to seek a waiver from the United States.<br><br>Trump has threatened that anyone trading with Iran will not do business with America. U.S. sanctions on Iran’s energy sector are set to be re-imposed after a 180-day “wind-down period” ending on Nov. 4. Several countries that were involved in the 2015 nuclear deal had attempted to lessen the blow of fresh sanctions on Iran, and urged their firms not to pull out. But that has proven difficult: several European companies have cut ties with Iran, arguing they cannot risk losing their U.S. business as the sanctions deadline approaches.<br><br>India has already asked its refiners to prepare for a drastic reduction in imports of crude from Tehran from November, sources told Reuters in June. New Delhi has so far not committed to complying fully with the new U.S. sanctions, but is prepared to cut Iran oil imports to protect its wider exposure to the U.S. financial system. During the previous round of sanctions, India was one of the few countries that continued to buy Iranian oil, although it had to reduce imports as shipping, insurance and banking channels were choked off due to the European and U.S. sanctions.</p>","Despite Donald Trump’s warning, India may not completely halt Iran oil imports; here’s what it plans to do"
